BLAM-BR,DataCite,OLAC,VLO-Facet,IMDI,ELDP,lat-session
BundleID,Identifier,—,—,/METATRANSCRIPT/@ArchiveHandle,,
BundleDisplayTitle,Title,http://purl.org/dc/terms/title,name,//Session/Title,ELDP_Bundle:Title,
BundleDescription,Description,http://purl.org/dc/terms/description,,//Session/Description,ELDP_Bundle:Description,
BundleKeyword,Subject,,keywords,various (closest match: //Session/Keys/*),CCR:ELDP_Bundle:Keywords:Keyword,
ObjectLanguageDisplayName,,,,//Session/MDGroup/Content/Languages/Language/Name,,
ObjectLanguageName,,http://purl.org/dc/terms/language,,,,
ObjectLanguageAlternativeName,,,,,,
ObjectLanguageISO639-3Code,Language,http://purl.org/dc/terms/language,languageCode,//Session/MDGroup/Content/Languages/Language/Id,,
ObjectLanguageGlottologCode,,,,,,
ObjectLanguageLanguageFamily,,,,,,
BundleRecordingDate,date subType:created,,,//Session/date,,
BundleGeoLocation,GeoLocation:geoLocationPoint,,,,,
BundleLocationDisplayName,,,,//Session/MDGroup/Location/Address,,
BundleLocationName,,,,,,
BundleRegionDisplayName,,,,,,
BundleRegionName,,,,,,
BundleCountryDisplayName,,,,,,
BundleCountryName,,,,,,
BundleCountryCode,,,,,,
CreatorFamilyName,,,,,,
CreatorGivenName,,,,,,
CreatorNameIdentifier,,,,,,
CreatorAffiliation,,,,,,
BundlePublicationYear,,,,,,
BundleDataProvider,,,,,,
ContributorFamilyName,,,,,,
ContributorGivenName,,,,,,
ContributorNameIdentifier,,,,,,
ContributorAffiliation,,,,,,
ContributorRole,,,,,,
ProjectDisplayName,,,,,,
ProjectDescription,,,,,,
FunderName,,,,,,
FunderIdentifier,,,,,,
GrantIdentifier,,,,,,
GrantURI,,,,,,
SegmentationUnit,,,,,,
TranscriptionType,,,,,,
TranslationLanguageName,,,,,,
TranslationLanguageCode,,,,,,
AnnotationType,,,,,,
BundleIsPartOfCollection,,,,,,
MD FileName,,,,,,
MD FilePID,,,,,,
MD MimeType,,,,,,
MD IsMetadataOf,,,,,,
MD FileDescription,,,,,,
MR FileName,,,,,,
MR FilePID,,,,,,
MR MimeType,,,,,,
MR FileLength,,,,,,
MR FileDescription,,,,,,
WR FileName,,,,,,
WR FilePID,,,,,,
WR MimeType,,,,,,
WR IsAnnotationOf,,,,,,
WR FileDescription,,,,,,
OR FileName,,,,,,
OR FilePID,,,,,,
OR MimeType,,,,,,
OR FileDescription,,,,,,
